Date,Open,High,Low,Close,Adj Close,Volume
2016-04-04,7165.529785,7256.240234,6984.129883,6984.129883,6984.129883,939341
2016-04-05,6984.129883,7165.529785,6893.419922,7074.830078,7074.830078,1327344
2016-04-06,7074.830078,7165.529785,6984.129883,7074.830078,7074.830078,614754
2016-04-07,7074.830078,7165.529785,6984.129883,6984.129883,6984.129883,893361
2016-04-08,6984.129883,7619.049805,6893.419922,7619.049805,7619.049805,3309261
2016-04-11,7709.750000,8344.669922,7709.750000,7981.859863,7981.859863,4356706
2016-04-12,7981.859863,8344.669922,7891.160156,8163.270020,8163.270020,2388292
2016-04-13,8163.270020,8163.270020,7891.160156,8072.560059,8072.560059,1821573
2016-04-14,8072.560059,8526.080078,7981.859863,8253.969727,8253.969727,2116363
2016-04-15,8253.969727,8253.969727,8253.969727,8253.969727,8253.969727,0
2016-04-18,8253.969727,8253.969727,8253.969727,8253.969727,8253.969727,0
2016-04-19,8253.969727,8253.969727,8253.969727,8253.969727,8253.969727,0
2016-04-20,7619.049805,7800.450195,7437.640137,7709.750000,7709.750000,1518154
2016-04-21,7800.450195,7891.160156,7619.049805,7709.750000,7709.750000,555594
2016-04-22,7709.750000,8072.560059,7709.750000,7981.859863,7981.859863,1114881
2016-04-25,null,null,null,null,null,null
2016-04-26,8072.560059,8072.560059,7800.450195,7981.859863,7981.859863,965549
2016-04-27,7981.859863,7981.859863,7981.859863,7981.859863,7981.859863,0
2016-04-28,7981.859863,7981.859863,7981.859863,7981.859863,7981.859863,0
2016-04-29,7981.859863,7981.859863,7981.859863,7981.859863,7981.859863,0
2016-05-02,7981.859863,7981.859863,7981.859863,7981.859863,7981.859863,0
2016-05-03,7981.859863,7981.859863,7981.859863,7981.859863,7981.859863,0
2016-05-04,7981.859863,7981.859863,7981.859863,7981.859863,7981.859863,0
2016-05-05,6984.129883,7165.529785,6984.129883,7074.830078,7074.830078,614655
2016-05-06,7074.830078,7256.240234,6984.129883,7074.830078,7074.830078,646175
2016-05-09,7074.830078,7165.529785,6712.020020,6712.020020,6712.020020,1348544
2016-05-10,6712.020020,6712.020020,6712.020020,6712.020020,6712.020020,0
2016-05-11,6712.020020,6712.020020,6712.020020,6712.020020,6712.020020,0
2016-05-12,6984.129883,7074.830078,6802.720215,6893.419922,6893.419922,501212
2016-05-13,6893.419922,6984.129883,6712.020020,6802.720215,6802.720215,456656
2016-05-16,6802.720215,6802.720215,6802.720215,6802.720215,6802.720215,0
2016-05-17,6802.720215,6802.720215,6802.720215,6802.720215,6802.720215,0
2016-05-18,6802.720215,6802.720215,6802.720215,6802.720215,6802.720215,0
2016-05-19,6893.419922,6893.419922,6712.020020,6802.720215,6802.720215,209883
2016-05-20,6802.720215,6802.720215,6802.720215,6802.720215,6802.720215,0
2016-05-23,6802.720215,6893.419922,6621.319824,6712.020020,6712.020020,551652
2016-05-24,6712.020020,6802.720215,6621.319824,6802.720215,6802.720215,288745
2016-05-25,6802.720215,7074.830078,6712.020020,6802.720215,6802.720215,2157835
2016-05-26,6802.720215,6893.419922,6621.319824,6802.720215,6802.720215,557424
2016-05-27,6984.129883,7074.830078,6802.720215,6984.129883,6984.129883,3320950
2016-05-31,7346.939941,7346.939941,6984.129883,6984.129883,6984.129883,1366009
2016-06-01,6984.129883,7256.240234,6984.129883,7074.830078,7074.830078,2505887
2016-06-02,7074.830078,7165.529785,6984.129883,7074.830078,7074.830078,803342
2016-06-03,7074.830078,7074.830078,6984.129883,6984.129883,6984.129883,1642901
2016-06-06,6984.129883,7074.830078,6893.419922,6984.129883,6984.129883,704012
2016-06-07,6984.129883,6984.129883,6893.419922,6893.419922,6893.419922,724166
2016-06-08,6984.129883,7074.830078,6893.419922,6984.129883,6984.129883,1312493
2016-06-09,6952.379883,7142.859863,6666.669922,6761.899902,6761.899902,1704896
2016-06-10,6761.899902,6857.140137,6761.899902,6761.899902,6761.899902,791847
2016-06-13,6666.669922,7142.859863,6666.669922,6952.379883,6952.379883,2289850
2016-06-14,6952.379883,7333.330078,6857.140137,7238.100098,7238.100098,2200128
2016-06-15,7238.100098,7238.100098,6952.379883,7047.620117,7047.620117,955678
2016-06-16,7047.620117,7238.100098,6952.379883,7142.859863,7142.859863,2484531
2016-06-17,7142.859863,7238.100098,7047.620117,7047.620117,7047.620117,1479046
2016-06-20,7047.620117,7142.859863,6857.140137,6857.140137,6857.140137,874136
2016-06-21,6857.140137,7047.620117,6761.899902,6857.140137,6857.140137,2023329
2016-06-22,6952.379883,6952.379883,6666.669922,6666.669922,6666.669922,822800
2016-06-23,6666.669922,6761.899902,6666.669922,6666.669922,6666.669922,689022
2016-06-24,6666.669922,6666.669922,6000.000000,6190.479980,6190.479980,4332174
2016-06-27,6190.479980,6380.950195,6000.000000,6380.950195,6380.950195,1450144
2016-06-28,6285.709961,6476.189941,6285.709961,6380.950195,6380.950195,540835
